Rank,Team,Wins,Losses,Conference,Total Margin,Teams Played,Opinion,Win Percentage,Win Percentage Rank,Strength of Schedule Rank,SOS Raw,Margin Rank,Conference Strength,Previous
94,Old Dominion,2,2,Conference Usa,-4,Fcs145;Appalachian State;Nc State;Utsa,97,0.5,55,115,98.5,87,117,101
95,Washington State,1,2,Pac-12,44,Fcs95;Boise State;Idaho,99,0.33333334,94,47,75.666664,34,26,104
96,Illinois,1,2,Big-10,0,Fcs143;North Carolina;Western Michigan,79,0.33333334,94,36,67.666664,82,13,81
97,Usc,1,3,Pac-12,-29,Alabama;Utah State;Stanford;Utah,59,0.25,104,1,29.5,106,26,64
98,North Texas,2,2,Conference Usa,-17,Smu;Fcs145;Florida;Rice,106,0.5,55,94,89.5,99,117,110
99,Marshall,1,2,Conference Usa,4,Fcs145;Akron;Louisville,80,0.33333334,94,46,73.666664,79,117,78
100,Oregon State,1,2,Pac-12,9,Minnesota;Fcs145;Boise State,100,0.33333334,94,38,69.333336,73,26,100
101,Idaho,2,2,Sun Belt,-89,Fcs139;Washington;Washington State;Unlv,105,0.5,55,85,86.0,123,104,109
102,New Mexico,1,2,Mountain West,17,Fcs145;New Mexico State;Rutgers,104,0.33333334,94,123,113.666664,61,78,108
103,Louisiana Tech,1,3,Conference Usa,10,Arkansas;Fcs145;Texas Tech;Middle Tennessee,91,0.25,104,53,77.5,75,117,90
104,Unlv,1,3,Mountain West,3,Fcs137;Ucla;Central Michigan;Idaho,108,0.25,104,49,75.75,81,78,88
105,Northwestern,1,3,Big-10,-3,Western Michigan;Fcs129;Duke;Nebraska,102,0.25,104,23,61.75,86,13,105
106,Kansas,1,2,Big-12,-3,Fcs145;Ohio;Memphis,110,0.33333334,94,116,98.666664,87,52,113
107,Texas State,1,2,Sun Belt,-98,Ohio;Arkansas;Houston,112,0.33333334,94,5,41.666668,127,104,94
108,Louisiana Monroe,1,2,Sun Belt,-27,Fcs145;Oklahoma;Georgia Southern,103,0.33333334,94,62,79.666664,109,104,107
109,Utep,1,3,Conference Usa,-97,New Mexico State;Texas;Army;Southern Mississippi,109,0.25,104,27,62.5,126,117,96
110,San Jose State,1,3,Mountain West,-55,Tulsa;Fcs135;Utah;Iowa State,115,0.25,104,69,81.5,115,78,102
111,Florida Atlantic,1,3,Conference Usa,-80,Fcs145;Miami;Kansas;Ball State,96,0.25,104,85,86.0,120,117,99
112,Fresno State,1,3,Mountain West,-47,Nebraska;Fcs145;Toledo;Tulsa,111,0.25,104,29,63.5,113,78,114
113,Hawaii,1,3,Mountain West,-94,California;Michigan;Fcs145;Arizona,107,0.25,104,26,62.25,124,78,111
114,Virginia,1,3,Acc,-24,Fcs115;Oregon;Connecticut;Central Michigan,121,0.25,104,31,64.0,103,39,127
115,Iowa State,1,3,Big-12,-31,Fcs130;Iowa;Tcu;San Jose State,117,0.25,104,67,81.0,108,52,123
116,Utsa,1,3,Conference Usa,-14,Fcs145;Colorado State;Arizona State;Old Dominion,114,0.25,104,112,97.75,97,117,116
117,Buffalo,1,2,Mac,-29,Fcs134;Nevada;Army,122,0.33333334,94,91,88.333336,110,91,128
118,Kent State,1,3,Mac,-51,Penn State;Fcs134;Fcs138;Alabama,124,0.25,104,57,78.75,114,91,118
119,Bowling Green,1,3,Mac,-160,Ohio State;Fcs136;Middle Tennessee;Memphis,119,0.25,104,39,69.75,128,91,112
120,Charlotte,1,3,Conference Usa,-69,Louisville;Fcs145;Eastern Michigan;Temple,116,0.25,104,76,84.0,118,117,115
121,New Mexico State,1,3,Sun Belt,-81,Utep;New Mexico;Kentucky;Troy,127,0.25,104,92,88.5,121,104,120
122,Georgia State,0,3,Sun Belt,-50,Ball State;Air Force;Wisconsin,113,0.0,122,8,46.333332,117,104,119
123,Umass,0,4,Independent,-40,Florida;Boston College;Florida International;Mississippi State,123,0.0,122,67,81.0,111,13,125
124,Miami (oh),0,4,Mac,-42,Iowa;Fcs131;Western Kentucky;Cincinnati,118,0.0,122,43,71.75,112,91,121
125,Northern Illinois,0,4,Mac,-56,Wyoming;South Florida;San Diego State;Fcs129,125,0.0,122,34,65.5,116,91,117
126,Rice,0,4,Conference Usa,-84,Western Kentucky;Army;Baylor;North Texas,120,0.0,122,21,60.75,122,117,124
127,Arkansas State,0,4,Sun Belt,-77,Toledo;Auburn;Utah State;Fcs145,128,0.0,122,71,83.0,119,104,122
128,Florida International,0,4,Conference Usa,-95,Indiana;Maryland;Umass;Ucf,126,0.0,122,37,69.0,125,117,126
